,id,name,colors,Category,Description,price,link
371,DQ4219-010,Nike Sportswear Air,Black/WhiteStyle,Men's Poly-Knit Trousers,"The Nike Air collection pays tribute to the legendary sneakers that helped shape the Swoosh brand over the decades. These knit trousers give you a comfy base to pair up with your favourite Air sneakers for a fresh, city-ready look.",4 095,https://www.nike.com/in/t/sportswear-air-poly-knit-trousers-q4jMFC/DQ4219-010
372,DM7824-696,Nike Yoga Dri-FIT,Light Crimson/Iron GreyStyle,Men's Tank,"The Nike Yoga Tank is made from lightweight knit fabric for a soft, smooth feel against your skin. Sweat-wicking technology helps keep you dry, so you can stay comfortable and focused on your practice. And it's mindfully made from at least 50% recycled polyester fibres.",2 595,https://www.nike.com/in/t/yoga-dri-fit-tank-GntZVk/DM7824-696
373,DR7756-010,"Nike ACG ""Hike Box""",BlackStyle,Men's T-Shirt,"This one's for the outdoor enthusiast who dreams of mountain trails and forest frolics even when they're stuck in traffic or behind a desk. When you pull this on, you'll know from the sweat-wicking fabric and roomy, movement-friendly fit that it's time to head into the great outdoors.",2 695,https://www.nike.com/in/t/acg-hike-box-t-shirt-2mnRrv/DR7756-010
374,DM1444-010,Jordan Flight Heritage '85,BlackStyle,Men's T-Shirt,"Take flight in this new graphic tee featuring custom artwork from Joe Perez. Made from structured cotton with a relaxed fit, it's made to wear all day long.",2 695,https://www.nike.com/in/t/jordan-flight-heritage-85-t-shirt-tmrT4w/DM1444-010
375,DN1998-415,Charlotte Hornets Icon Edition 2022/23,Rapid TealStyle,Jordan Dri-FIT NBA Swingman Jersey,"Every team has its true colours, an unmistakable identity that sets it apart from the rest of the league. Honouring a rich hoops heritage, this Charlotte Hornets jersey is inspired by what the pros wear on the hardwood, from squad details to lightweight, sweat-wicking mesh. It helps keep you dry and cool on or off the court while you rep your favourite player and the game you love.",5 995,https://www.nike.com/in/t/charlotte-hornets-icon-edition-2022-23-jordan-dri-fit-nba-swingman-jersey-lnJcXw/DN1998-415
376,DA4140-297,Nike Dri-FIT UV,Parachute BeigeStyle,Men's 27cm (approx.) Golf Chino Shorts,"From the course to the concrete and everywhere in between, the Nike Dri-FIT UV Chino Shorts keep your look fresh. Stretchy fabric and multiple pockets create a casual, comfortable fit that's built to perform at the highest levels of play.",3 295,https://www.nike.com/in/t/dri-fit-uv-27cm-golf-chino-shorts-lrFdWm/DA4140-297
377,DM6868-010,Nike Sportswear Sport Essentials+,Black/WhiteStyle,Men's Woven Windrunner Jacket,"More than a direct descendant, the Nike Sportswear Windrunner Windbreaker is made to look and feel just like the original Windrunner from 1978. It has a breathable mesh lining, ribbed cuffs and the iconic chevron on the chest. A mix of smooth and puffy printed logos elevates the look.",5 995,https://www.nike.com/in/t/sportswear-sport-essentials-woven-windrunner-jacket-fVbthw/DM6868-010
378,DN0693-455,Netherlands 2022/23 Stadium Away,Deep Royal Blue/Black/Habanero RedStyle,Men's Nike Dri-FIT Football Shirt,"Oranje pride is never done. Like other shirts from our Stadium collection, this one pairs replica design details with sweat-wicking fabric to give you a game-ready look inspired by your favourite team.",4 695,https://www.nike.com/in/t/netherlands-2022-23-stadium-away-dri-fit-football-shirt-bcZ7HB/DN0693-455
379,CV3153-010,NikeCourt Dri-FIT Victory,Black/Black/WhiteStyle,Men's Tennis Top,"Crafted from soft fabric with plenty of stretch, the NikeCourt Dri-FIT Victory Top keeps you comfortable and focused on the win.The updated design blends the feel of raglan sleeves with the look of traditional polo sleeves—providing more room to move.This product is made from 100% recycled polyester fibres.",1 995,https://www.nike.com/in/t/nikecourt-dri-fit-victory-tennis-top-Ss0Qls/CV3153-010
380,DR7910-100,Nike Sportswear,WhiteStyle,Men's All-over Print T-Shirt,"Designed with our classic fit and everyday cotton fabric, the Nike Sportswear T-Shirt has a soft, familiar feel perfect for everyday wear. All-over printed graphics bring energy to your look.",1 795,https://www.nike.com/in/t/sportswear-all-over-print-t-shirt-hTBCjK/DR7910-100
